Category,Name,Link,Notes
Strings,Count Pairs of Similar Strings,https://leetcode.com/problems/count-pairs-of-similar-strings/description/,FORUMULA TO COUNT UNIQUE PAIRS => n(n - 1) // 2
Strings,Integer to Roman,https://leetcode.com/problems/integer-to-roman/,store FULL numeral and value in nested list or hashmap; must iterate from highest to lowest; num floor divided by value gives us how many symbols we need; num % value gives us next value num should be
Strings,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,sliding window; increment right pointer if it points to character not in hashset; add character to hashset; get the max between result and window length; if character already in hashset then need to slide the window by removing character left pointer is pointing to from hashset and increment left pointer
Strings,Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/,sliding window; use hashmap to store character count of window; find max character count in window and subtract it from window length leaving number of letters that can be changed; compare with k
Strings,Group Anagrams,https://leetcode.com/problems/group-anagrams/,1) loop through strings; check if sorted version of string is in hashmap; sorted version is the key of hashmap; if not add to hashmap in array; else append to array    2) convert string to its ascii value and use that as comparator
Strings,Palindromic Substrings,https://leetcode.com/problems/palindromic-substrings/,"check if string is palindrome by checking the middle first, then expand out; take into account pointer positions for odd vs. even length palindromes "
Strings,Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/,"check if string is palindrome by checking the middle first, then expand out; take into account pointer positions for odd vs. even length palindromes "
Strings,Permutation in a String,https://leetcode.com/problems/permutation-in-string/,make starting frequency maps for both strings; update hashmap for s2 as we move the window
Strings,Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,sliding window; use two hashmaps
Strings,String to Integer,https://leetcode.com/problems/string-to-integer-atoi/description/,lots of if statements
Trees,Invert Binary Tree,https://leetcode.com/problems/invert-binary-tree/,dfs; swap root.left with root.right; traverse tree doing this with recursion
Trees,Balanced Binary Tree,https://leetcode.com/problems/balanced-binary-tree/,dfs; get the height of each subtree; if the difference of the height is less than or equal to 1 then that subtree is balanced; recursively do that for every subtree
Trees,Same Tree,https://leetcode.com/problems/same-tree/,recursively check branches only if root of both trees are the same; return false if one root is null but other root is not null
Trees,Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/description/,do dfs on first tree searching for matching roots with the second tree; if find match then check if those 2 subtrees are the same
Trees,Path Sum,https://leetcode.com/problems/path-sum/,recursively add current node's value to running sum; return boolean if reached target number; bubble back up and do same thing for other branch
Trees,Maximum Depth of Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/,get max height between left and right sides
Trees,Diameter of a Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,dfs; need to find max depth of each subtree; basically sum of left + right; each return of recursive call is going back up one level so add 1 to subtree that is bigger
Trees,Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,By nature of BST structure where we traverse to find LCA will depend on if p and q values are BOTH less than or greater than current node's value;
Trees,Validate Binary Search Tree,https://leetcode.com/problems/validate-binary-search-tree/description/,create left and right boundaries and update those with each recursive call
Trees,Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/description/,STACK: since we want pre order traversal put right child in stack before putting left child in stack; make right pointer reference for popped node to point to last node in stack; left pointer always points to None
Trees,Count Complete Tree Nodes,https://leetcode.com/problems/count-complete-tree-nodes/,"get height of left and right subtrees; if left subtree height is bigger than right subtree then we don't have a completely filled tree, so need to recursively compute height of left and right child subtrees which should equal num of nodes"
Trees,Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/description/,"check for 3 cases: when two nodes are on opposite sides of tree, when p is descendent of q, and when q is descendent of p "
Trees,Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/description/,BFS; do level order traversal and get the most right value at each level which will be the last node in queue after each level check
Trees,Construct Binary Tree From Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/,root is always first in preorder traversal; split preorder and inorder arrays based off of where the root is located in the inorder array
Trees,Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/description/,binary search; each mid computed is the root of each subtree for left and right branches
Trees,Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/description/,in order traversal prints nodes in ascending order in BST
Trees,Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/description/,"3 cases: 0 children, 1 children, 2 children"
Trees,Minimum Height Trees,https://leetcode.com/problems/minimum-height-trees/description/,
Tries,Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/description/,create TrieNode class with children being a hashmap of all 26 lowercase letters;
